x,y,z,form0_x,form0_y,form0_z
-0.147756,-0.17182,-0.973985,0.315395,0.217621,-0.144984
-0.0936441,0.749344,0.655526,0.356793,0.460618,-0.319569
0.967017,0.254603,-0.00751338,0.15754,-0.215719,0.345083
0.98641,0.102805,-0.128164,0.0820076,-0.243696,-0.363689
0.379042,-0.902706,0.203589,0.410187,-0.00218792,-0.270858
0.609458,-0.372131,0.700056,0.21081,0.140156,0.0321142
-0.712241,-0.564291,-0.417479,-0.0443993,-0.045628,-0.0459047
-0.113739,-0.877992,-0.464966,-0.000663055,0.0587655,-0.293668
-0.417601,-0.117422,-0.901012,0.248626,-0.598766,-0.121628
0.811593,-0.350769,-0.467202,0.0282258,0.0338889,-0.0785813
0.199948,-0.455337,-0.867576,0.514183,-0.167432,0.129769
0.399097,0.00686774,-0.916883,0.0311779,-0.209661,-0.0776868
0.621289,-0.776452,0.105461,-0.0250738,-0.0994618,0.489005
0.757514,0.16227,-0.63233,0.128115,-0.442687,-0.124114
-0.0668483,-0.520101,-0.851485,0.0121622,-0.0454549,-0.0730385
0.248856,0.493423,0.833429,-0.0468729,-0.330884,0.336963
0.464485,-0.539168,-0.702532,-0.236344,0.0416303,-0.316103
-0.566191,-0.150927,-0.810338,0.0662651,-0.300255,-0.0953966
-0.103686,0.321089,0.941356,-0.121903,0.00207457,0.0746698
-0.833553,0.440089,0.333934,-0.0381755,0.173928,-0.0821758
0.878179,0.157931,0.451508,0.0312308,-0.143426,0.221947
0.704586,0.698269,0.126408,0.0749469,0.0824986,-0.122815
-0.244707,-0.449287,-0.859221,-0.324878,-0.313312,0.168339
-0.439272,-0.582684,0.683755,-0.0475686,0.120237,0.16763
-0.738381,-0.654153,-0.163942,-0.10269,-0.219152,0.706993
-0.727167,0.651902,-0.215064,-0.257372,-0.179335,-0.0946608
0.684002,-0.0119921,-0.729382,0.239375,-0.145294,0.142036
0.629134,-0.0761255,-0.77356,0.222377,-0.434277,0.102139
-0.39363,-0.918192,0.0444919,-0.00431931,-0.113177,-0.0734749
-0.579889,-0.803011,0.137487,-0.0534434,-0.159237,-0.488615
-0.376918,-0.925493,0.0373711,-0.106516,-0.0631796,-0.0556604
-0.746308,0.625967,0.226249,-0.315826,-0.207035,-0.133262
0.433122,0.491881,0.755287,-0.349923,0.19249,0.19113
-0.178181,-0.983962,0.00840969,-0.111325,-0.0887259,0.0184818
-0.958063,-0.153929,-0.241705,-0.113758,0.231817,-0.0118032
-0.322784,0.811654,-0.486855,-0.729554,-0.0752626,0.107877
-0.91872,0.0819818,-0.386307,0.102263,-0.0922084,-0.470466
0.762754,-0.635151,0.121614,0.241226,0.0802756,-0.255149
0.738559,-0.324887,0.590745,-0.128972,-0.12656,0.208531
-0.622329,0.773847,-0.117758,0.206158,0.340333,0.289457
-0.356204,-0.171818,-0.918475,-0.159087,-0.0987839,-0.00124592
-0.341104,0.703319,-0.623691,-0.394011,0.0625844,0.144096
-0.476348,-0.320672,-0.818696,-0.408002,-0.401598,0.2944
-0.494696,0.802607,-0.333313,0.136764,0.076907,-0.234062
-0.722203,0.585187,0.368753,-0.370318,-0.0468421,-0.424354
0.758805,-0.625538,0.181429,0.100866,-0.093601,-0.297668
0.135303,0.936243,0.324255,-0.437804,0.0310683,0.395721
-0.71216,-0.696119,-0.0908097,-0.124992,-0.0304519,0.154469
0.540122,0.314933,-0.780439,0.216274,-0.0334743,0.0293856
0.453176,-0.792833,-0.407488,0.10379,-0.192573,0.294542
0.230935,-0.972722,0.021921,0.273054,-0.0406129,-0.00988102
0.066743,0.997754,-0.00567007,-0.0267788,0.0761107,-0.306161
0.612744,-0.601421,-0.512677,-0.191483,-0.168873,-0.141203
0.708576,0.273196,0.650603,-0.0400089,0.102181,0.156636
-0.510468,0.84949,-0.133373,-0.168056,0.0404757,0.254691
0.423905,0.585615,0.690912,-0.112488,0.141403,0.108147
-0.840544,0.271129,-0.469015,-0.077327,-0.0617683,-0.047504
0.134221,-0.448043,0.883879,-0.257519,-0.218772,0.0194908
0.0764835,0.625725,-0.776285,-0.550074,0.602991,0.265849
0.798095,0.27057,0.538365,0.211,0.0961471,-0.197533
-0.232191,0.158755,-0.959627,0.251527,0.168587,-0.0762376
0.270092,0.80557,-0.527359,0.290335,-0.186668,-0.277053
0.565163,0.362425,0.741107,0.12614,-0.430281,0.268714
-0.835039,-0.46134,-0.29979,0.0968129,-0.162555,-0.332397
-0.151163,0.478535,0.864959,0.016907,0.117091,0.0131288
-0.241135,-0.451949,0.858834,-0.309087,-0.0514173,-0.0198582
0.249439,0.759814,0.600385,0.0347776,0.233298,-0.132989
0.914183,-0.347983,-0.207789,0.267067,0.396601,0.129188
-0.46166,0.52292,0.716537,-0.589814,-0.313079,-0.00709389
0.785338,0.613094,-0.0857913,-0.00330211,0.161383,0.146297
-0.457304,-0.481543,-0.747656,0.0478954,0.302721,-0.358274
0.637174,-0.313865,0.703917,-0.0526019,-0.3229,0.0163997
-0.720847,0.283429,0.632493,0.149926,0.437718,0.135507
0.656974,-0.192703,-0.728869,0.00960468,-0.030065,-0.07883
-0.680171,0.000445255,0.733053,0.201518,0.33341,0.302755
-0.891016,0.452384,0.0379261,-0.05917,0.0639517,-0.149434
-0.635807,-0.598669,0.487182,-0.0989508,-0.402496,-0.384269
0.885599,-0.0272936,-0.463648,0.0609651,0.0380673,-0.0549252
0.780335,-0.259285,-0.569077,-0.0650645,-0.086541,-0.139879
-0.694946,0.178222,0.696626,0.120816,0.570993,0.0902295
0.0475577,-0.978554,0.200428,-0.363665,-0.112737,0.183973
-0.709523,0.0114908,-0.704589,-0.156628,-0.330735,0.0522294
-0.947054,-0.176422,-0.26826,-0.155285,0.270206,0.097751
0.155172,-0.67845,0.718072,-0.0944953,0.198747,0.314044
-0.857908,0.509873,-0.0634328,-0.185774,-0.120473,0.144122
-0.0920107,-0.94078,-0.326294,0.152868,-0.167505,0.228773
-0.229173,-0.919944,-0.318092,0.272198,-0.29329,0.371579
