coeff_index,form0
0,-0.107004
1,0.0841191
2,-0.0648048
3,0.694966
4,0.686102
5,-0.257073
6,0.155171
7,-0.426589
8,-0.593465
9,0.636203
10,-0.683065
11,0.486031
12,-0.049599
13,0.0299431
14,-0.0858786
15,0.0685081
16,-0.0946376
17,-0.0393971
18,0.0578976
19,-0.00871961
20,-0.0890632
21,0.0992103
22,0.0693102
23,-0.0232251
24,0.0553525
25,0.096541
26,-0.0875653
27,-0.0991781
28,0.0254428
29,0.10052
30,-0.109226
31,0.041998
32,-0.0323674
33,-0.00272975
34,-0.116506
35,0.00286849
36,0.189428
37,0.0356392
38,-0.00302592
39,-0.109541
40,-0.0220882
41,0.0619927
42,-0.11398
43,0.000806741
44,0.132528
45,-0.107778
46,-0.0518178
47,0.0558103
48,0.0981854
49,0.101689
50,0.0271059
51,-0.00957439
52,-0.166115
53,0.0127843
54,0.184272
55,-0.0356953
56,-0.0443904
57,0.106472
58,-0.0869579
59,0.101365
60,0.0348671
61,-0.134396
62,0.0657771
63,0.0847051
64,-0.0468761
65,-0.0376707
66,-0.0705024
67,-0.0873561
68,0.0789237
69,-0.102835
70,0.09604
71,0.0544879
72,0.163271
73,-0.0562106
74,0.170284
75,-0.0862429
76,-0.030271
77,0.0266799
78,0.0533671
79,-0.153127
80,0.109938
81,0.0205499
82,-0.0409502
83,-0.0698188
84,-0.162322
85,-0.031002
86,-0.0750056
87,-0.100994
88,-0.00780358
89,-0.135806
90,0.0519804
91,-0.0472448
92,0.021653
93,0.0931092
94,0.0436262
95,0.0627905
96,0.0890136
97,0.0116456
98,0.0101741
99,0.0392253
100,0.0584727
101,-0.0379488
102,0.0414665
103,0.073187
104,-0.0170027
105,0.0503259
106,0.00203046
107,0.0589408
108,0.012052
109,-0.0808719
110,-0.0616959
111,0.0542697
112,0.0122462
113,0.00680996
114,0.0342709
115,-0.0273274
116,-0.00817515
117,0.0792528
118,-0.104605
119,0.0542896
120,-0.0155311
121,-0.0113563
122,0.0150924
123,-0.0510131
124,0.0144073
125,0.00964912
126,0.013967
127,-0.0727512
128,0.00708687
129,-0.0398768
130,-0.0810101
131,0.00566657
132,-0.0613905
133,0.00213416
134,-0.0370568
135,0.037045
136,-0.0080143
137,0.0729959
138,0.0297075
139,0.0552217
140,-0.0303246
141,0.00574206
142,-0.0209
143,0.010785
144,-0.0451351
145,0.0510468
146,0.0214947
147,-0.0277888
148,0.0463018
149,0.0402866
