x,y,z,theta_0,theta_1
-1.95387,-2.27208,0.0816387,3.97765,3.12608
-0.306213,2.45033,-0.882991,1.91569,2.46045
0.967313,0.254681,0.0236018,1.42074,6.28037
1.07415,0.111949,0.391847,1.14514,5.93672
0.463675,-1.10426,-0.596871,0.0586668,0.850669
2.20874,-1.34864,-0.808913,6.11471,2.07233
-1.36669,-1.0828,0.966583,4.22416,5.31575
-0.24283,-1.8745,0.993949,4.88773,4.97332
-2.84183,-0.79907,0.305993,3.48296,3.43977
1.74146,-0.752654,0.994696,6.15647,5.04359
1.1719,-2.66874,0.404124,5.22267,4.32013
2.96566,0.0510337,0.258162,6.28216,2.9676
0.658751,-0.82327,-0.325288,0.299154,0.616508
2.35053,0.503516,0.914823,0.428825,4.77356
-0.368816,-2.86951,0.44983,4.58706,3.93483
1.29069,2.55912,-0.499738,1.16289,2.81707
1.6932,-1.96544,0.804316,5.51731,4.69972
-2.73227,-0.72833,0.561204,3.49012,3.65914
-0.916684,2.83874,-0.183195,1.95686,2.84293
-1.32792,0.701098,-0.866967,3.16824,0.85978
1.81906,0.32714,-0.988418,0.709616,2.05784
0.76556,0.758696,-0.386766,1.69848,0.31593
-1.38891,-2.55007,0.427994,4.21822,3.62284
-1.53249,-2.03281,-0.837949,4.12307,2.46288
-0.84561,-0.74915,0.492569,5.00237,5.89956
-0.908174,0.814174,0.6254,3.31249,5.84076
2.65944,-0.0466261,0.751395,0.0995245,4.32457
2.73749,-0.331238,0.652881,6.23336,4.0242
-0.397863,-0.928065,-0.139321,5.65938,0.232858
-0.639216,-0.885165,-0.418623,5.33484,0.395657
-0.379778,-0.932515,-0.117135,5.67084,0.217821
-0.951705,0.798243,-0.652428,3.31448,0.516164
1.79671,2.04046,-0.695265,1.07977,2.67513
-0.17825,-0.98434,-0.0264167,5.79593,0.116563
-1.25857,-0.202211,0.688441,4.06634,5.64596
-0.723818,1.82007,0.999147,2.52369,5.44698
-1.64384,0.146687,0.936887,3.68042,5.41691
0.823865,-0.686038,-0.372835,0.434383,0.638765
2.08813,-0.918554,-0.959638,6.26325,2.0216
-0.669087,0.83199,0.361566,3.33534,6.04065
-2.6727,-1.2892,0.253326,3.59009,3.3013
-1.03809,2.14043,0.925445,2.30849,4.4761
-2.35767,-1.58716,0.539282,3.7173,3.55858
