mode,lambda
0,0.0666257
1,0.152672
2,0.248647
3,0.256733
4,0.264227
5,0.272565
6,0.409694
7,0.434075
8,0.494666
9,0.535453
10,0.547126
11,0.576736
12,0.601697
13,0.615465
14,0.649052
15,0.66638
16,0.698413
17,0.730003
18,0.740473
19,0.768528
20,0.774886
21,0.829167
22,0.866741
23,0.877364
24,0.900642
25,0.920356
26,0.95401
27,0.984429
28,0.994609
29,1.00636
30,1.02664
31,1.0477
32,1.08517
33,1.10309
34,1.10437
35,1.14575
36,1.19263
37,1.20113
38,1.23397
39,1.2462
40,1.3032
41,1.3332
42,1.39799
43,1.41955
44,1.46413
45,1.49227
46,1.51976
47,1.55353
48,1.57484
49,1.58539
50,1.62694
51,1.65584
52,1.69258
53,1.74198
54,1.7437
55,1.77361
56,1.8242
57,1.83652
58,1.88558
59,1.93396
60,1.95884
61,1.98847
62,2.0073
63,2.05295
64,2.08273
65,2.12838
66,2.17833
67,2.2256
68,2.33526
69,2.35696
70,2.40363
71,2.46987
72,2.48734
73,2.52453
74,2.54591
75,2.57998
76,2.60441
77,2.66259
78,2.70385
79,2.78294
80,2.82302
81,2.86313
82,2.87328
83,2.91542
84,2.9922
85,3.05284
86,3.07435
87,3.11349
88,3.14118
89,3.16947
90,3.25455
91,3.25817
92,3.33859
93,3.352
94,3.43037
95,3.4599
96,3.46692
97,3.51247
98,3.55787
99,3.60631
100,3.63045
101,3.68433
102,3.74597
103,3.80485
104,3.84609
105,3.8897
106,3.94086
107,4.00873
108,4.02259
109,4.13064
110,4.22943
111,4.28421
112,4.34581
113,4.35758
114,4.47959
115,4.53642
116,4.54645
117,4.66931
118,4.72058
119,4.7862
120,4.93359
121,4.99302
122,5.05363
123,5.15638
124,5.15962
125,5.35621
126,5.38964
127,5.48288
128,5.55108
129,5.64054
130,5.78191
131,6.04025
132,6.23803
133,6.45504
134,6.61008
135,6.65099
136,6.71903
137,6.80136
138,7.11311
139,7.36932
140,7.70647
141,7.8516
142,8.03445
143,8.40202
144,8.61208
145,9.11967
146,9.18262
147,9.69726
148,9.85405
149,11.336
