x,y,z,form0_x,form0_y,form0_z
-1.95387,-2.27208,0.0816387,0.52737,-0.448019,0.0176244
-0.306213,2.45033,-0.882991,-0.876134,-0.00386002,0.096371
0.967313,0.254681,0.0236018,-0.393718,1.43609,0.0107508
1.07415,0.111949,0.391847,-0.181601,1.20525,-0.127944
0.463675,-1.10426,-0.596871,1.20457,0.520331,-0.0125971
2.20874,-1.34864,-0.808913,0.14072,0.452898,-0.11929
-1.36669,-1.0828,0.966583,0.780516,-0.419387,-0.0673575
-0.24283,-1.8745,0.993949,0.699905,-0.128288,0.0166481
-2.84183,-0.79907,0.305993,0.161373,-0.628567,0.0633843
1.74146,-0.752654,0.994696,0.244703,0.272963,0.0190742
1.1719,-2.66874,0.404124,0.494651,0.216144,0.0164852
2.96566,0.0510337,0.258162,0.0318924,0.633802,-0.137152
0.658751,-0.82327,-0.325288,1.24761,1.09078,0.14129
2.35053,0.503516,0.914823,0.000475856,0.856879,-0.125032
-0.368816,-2.86951,0.44983,0.407714,0.0186917,0.191512
1.29069,2.55912,-0.499738,-0.41301,0.277588,0.112054
1.6932,-1.96544,0.804316,0.410121,0.538504,0.106456
-2.73227,-0.72833,0.561204,0.113755,-0.56674,-0.0160077
-0.916684,2.83874,-0.183195,-0.658435,-0.164055,0.0666795
-1.32792,0.701098,-0.866967,-0.681312,-0.769252,-0.11349
1.81906,0.32714,-0.988418,-0.260071,0.911019,-0.00135792
0.76556,0.758696,-0.386766,-1.06819,1.02632,0.0999042
-1.38891,-2.55007,0.427994,0.63544,-0.200795,0.254539
-1.53249,-2.03281,-0.837949,0.335245,-0.416206,0.0755316
-0.84561,-0.74915,0.492569,0.898588,-0.960823,-0.114386
-0.908174,0.814174,0.6254,-0.605271,-0.83904,-0.161669
2.65944,-0.0466261,0.751395,-0.0554081,0.641429,0.0352837
2.73749,-0.331238,0.652881,0.123444,0.430596,-0.122194
-0.397863,-0.928065,-0.139321,1.43608,-0.597771,0.137524
-0.639216,-0.885165,-0.418623,1.32752,-0.87477,0.126955
-0.379778,-0.932515,-0.117135,1.42985,-0.571546,0.144238
-0.951705,0.798243,-0.652428,-0.556556,-0.662838,-0.00789365
1.79671,2.04046,-0.695265,-0.40199,0.408617,0.00253144
-0.17825,-0.98434,-0.0264167,1.36911,-0.236041,0.0745647
-1.25857,-0.202211,0.688441,0.257248,-1.19709,-0.0762805
-0.723818,1.82007,0.999147,-0.705161,-0.390681,0.0122077
-1.64384,0.146687,0.936887,0.0562601,-0.805944,-0.0439745
0.823865,-0.686038,-0.372835,0.942077,1.22283,0.227801
2.08813,-0.918554,-0.959638,0.103206,0.854398,-0.0642124
-0.669087,0.83199,0.361566,-1.5013,-1.13601,0.0650172
-2.6727,-1.2892,0.253326,0.201584,-0.467341,-0.131784
-1.03809,2.14043,0.925445,-0.513594,-0.447677,0.100075
-2.35767,-1.58716,0.539282,0.273889,-0.557266,-0.157766
-0.787021,1.27688,0.865994,-0.942375,-0.970887,-0.165034
-1.24256,1.00682,-0.916192,-0.591795,-0.746808,0.0184357
0.893592,-0.736653,-0.539613,1.08692,1.19073,-0.0344842
0.211043,1.46034,-0.851415,-1.07224,0.22887,-0.078376
-0.744019,-0.72726,0.281433,1.07986,-1.04672,-0.140616
