coeff_index,form0
0,-0.12389
1,-0.0614796
2,-0.280593
3,0.0372739
4,2.23768
5,-3.68914
6,-0.0539298
7,3.64769
8,2.2994
9,0.489806
10,0.109698
11,0.324948
12,0.237958
13,-0.12536
14,0.0156693
15,-0.047915
16,-0.12351
17,0.38629
18,-0.394786
19,0.0108993
20,-0.0467479
21,-0.0312728
22,-0.422953
23,-0.16543
24,0.0606873
25,0.127759
26,0.462112
27,-0.159622
28,-0.503343
29,0.4689
30,-0.00654038
31,0.231012
32,0.384164
33,0.053291
34,-0.0216419
35,0.0110847
36,0.00470628
37,-0.00969532
38,0.115214
39,-0.0407977
40,0.0337565
41,-0.0515111
42,0.00832163
43,0.0354378
44,-0.0383822
45,0.0324926
46,0.0810279
47,0.0143157
48,0.00330585
49,0.0296601
50,-0.055601
51,-0.0767509
52,0.0302109
53,-0.0679867
54,-0.0394605
55,-0.110288
56,0.00826445
57,0.0140755
58,0.0275548
59,-0.000612727
60,0.0369528
61,-0.074206
62,0.0747412
63,0.025887
64,-0.0800774
65,0.09882
66,-0.0301202
67,-0.01414
68,0.163927
69,-0.0222001
70,0.0229246
71,-0.164272
72,0.00981177
73,0.0580428
74,0.034364
75,0.00178447
76,0.1413
77,0.0361285
78,0.0032308
79,0.096805
80,-0.0439194
81,0.0103068
82,0.070673
83,0.110304
84,0.00279164
85,-0.0301309
86,0.0189689
87,0.0184365
88,0.0683495
89,-0.0388134
90,-0.0277667
91,-0.047345
92,-0.18157
93,0.00655639
94,-0.0289472
95,0.0475279
96,0.0123641
97,0.102237
98,-0.0793805
99,0.00282402
100,-0.123901
101,0.103778
102,-0.0206255
103,-0.0655003
104,0.0150636
105,-0.0264455
106,-0.0212007
107,-0.0358201
108,0.0150635
109,-0.020525
110,-0.0365547
111,-0.0111622
112,0.0130622
113,-0.0311184
114,0.000412828
115,0.0272957
116,-0.0167951
117,-0.0100148
118,-0.00417934
119,0.0091339
120,0.0263194
121,-0.0483091
122,0.0126083
123,0.00591976
124,0.0477031
125,-0.017416
126,-0.034048
127,0.0581156
128,-0.0295097
129,-0.0205352
130,0.00261616
131,0.0218442
132,0.00959321
133,-0.0241265
134,-0.00680375
135,-0.00508352
136,0.00624608
137,0.0259684
138,0.0317675
139,0.0611462
140,-0.0107527
141,0.00718627
142,-0.0112227
143,0.0226912
144,-0.00413083
145,0.0286751
146,-0.0161251
147,0.00459026
148,-0.0104962
149,-0.0383208
