x,y,z,theta_0,theta_1
-0.147756,-0.17182,-0.973985,0,1.25718
-0.0936441,0.749344,0.655526,0,0.0713548
0.967017,0.254603,-0.00751338,0,1.81218
0.98641,0.102805,-0.128164,0,2.56082
0.379042,-0.902706,0.203589,0,5.95878
0.609458,-0.372131,0.700056,0,1.47009
-0.712241,-0.564291,-0.417479,0,0.455392
-0.113739,-0.877992,-0.464966,0,6.25415
-0.417601,-0.117422,-0.901012,0,1.05839
0.811593,-0.350769,-0.467202,0,3.01994
0.199948,-0.455337,-0.867576,0,2.46156
0.399097,0.00686774,-0.916883,0,3.65901
0.621289,-0.776452,0.105461,0,2.04072
0.757514,0.16227,-0.63233,0,3.5723
-0.0668483,-0.520101,-0.851485,0,0.622213
0.248856,0.493423,0.833429,0,0.513098
0.464485,-0.539168,-0.702532,0,2.9181
-0.566191,-0.150927,-0.810338,0,1.03354
-0.103686,0.321089,0.941356,0,3.47599
-0.833553,0.440089,0.333934,0,2.70082
0.878179,0.157931,0.451508,0,1.18919
0.704586,0.698269,0.126408,0,0.0992345
-0.244707,-0.449287,-0.859221,0,0.685723
-0.439272,-0.582684,0.683755,0,4.32766
-0.738381,-0.654153,-0.163942,0,6.07986
-0.727167,0.651902,-0.215064,0,2.28427
0.684002,-0.0119921,-0.729382,0,3.4225
0.629134,-0.0761255,-0.77356,0,3.35231
-0.39363,-0.918192,0.0444919,0,5.65504
-0.579889,-0.803011,0.137487,0,5.56123
-0.376918,-0.925493,0.0373711,0,5.65685
-0.746308,0.625967,0.226249,0,2.58209
0.433122,0.491881,0.755287,0,0.51455
-0.178181,-0.983962,0.00840969,0,5.64747
-0.958063,-0.153929,-0.241705,0,1.40426
-0.322784,0.811654,-0.486855,0,3.60571
-0.91872,0.0819818,-0.386307,0,1.51774
0.762754,-0.635151,0.121614,0,2.30795
0.738559,-0.324887,0.590745,0,1.50743
-0.622329,0.773847,-0.117758,0,2.43371
-0.356204,-0.171818,-0.918475,0,1.03319
-0.341104,0.703319,-0.623691,0,3.54246
-0.476348,-0.320672,-0.818696,0,0.871415
-0.494696,0.802607,-0.333313,0,2.68992
-0.722203,0.585187,0.368753,0,2.67511
0.758805,-0.625538,0.181429,0,2.21033
0.135303,0.936243,0.324255,0,6.13148
-0.71216,-0.696119,-0.0908097,0,5.90301
0.540122,0.314933,-0.780439,0,4.10738
0.453176,-0.792833,-0.407488,0,2.06943
0.230935,-0.972722,0.021921,0,5.67604
0.066743,0.997754,-0.00567007,0,5.44452
0.612744,-0.601421,-0.512677,0,2.85573
0.708576,0.273196,0.650603,0,0.909189
-0.510468,0.84949,-0.133373,0,2.53295
0.423905,0.585615,0.690912,0,0.394647
-0.840544,0.271129,-0.469015,0,1.68041
0.134221,-0.448043,0.883879,0,3.9854
0.0764835,0.625725,-0.776285,0,4.49639
0.798095,0.27057,0.538365,0,0.957298
-0.232191,0.158755,-0.959627,0,2.61993
0.270092,0.80557,-0.527359,0,4.76492
0.565163,0.362425,0.741107,0,0.77865
-0.835039,-0.46134,-0.29979,0,0.6931
-0.151163,0.478535,0.864959,0,3.69199
-0.241135,-0.451949,0.858834,0,4.08982
0.249439,0.759814,0.600385,0,0.16761
0.914183,-0.347983,-0.207789,0,2.71731
-0.46166,0.52292,0.716537,0,3.11526
0.785338,0.613094,-0.0857913,0,6.12597
-0.457304,-0.481543,-0.747656,0,0.736918
0.637174,-0.313865,0.703917,0,1.44589
-0.720847,0.283429,0.632493,0,3.11222
0.656974,-0.192703,-0.728869,0,3.24393
-0.680171,0.000445255,0.733053,0,3.61331
-0.891016,0.452384,0.0379261,0,2.38634
-0.635807,-0.598669,0.487182,0,4.74387
