mode,lambda
0,0.648052
1,1.31873
2,1.42329
3,1.46056
4,1.51009
5,1.57039
6,1.61631
7,3.27457
8,3.65443
9,3.78521
10,3.90714
11,4.03537
12,4.18218
13,4.23025
14,4.35114
15,4.48108
16,4.56218
17,4.82044
18,5.18433
19,5.51738
20,5.91902
21,6.04988
22,6.44458
23,6.59455
24,6.75211
25,6.93166
26,6.99986
27,7.05863
28,7.17581
29,7.30948
30,7.51152
31,7.56255
32,7.59294
33,7.66976
34,7.9133
35,8.16466
36,8.17828
37,8.4523
38,8.58743
39,8.67652
40,8.88566
41,8.9172
42,9.17642
43,9.38405
44,9.44284
45,9.79127
46,10.0368
47,10.3828
48,10.809
49,10.9629
50,11.0899
51,11.306
52,11.4124
53,11.5636
54,11.6388
55,11.916
56,12.1306
57,12.2446
58,12.6082
59,12.6698
60,12.8683
61,12.9622
62,13.1314
63,13.3567
64,13.7826
65,13.9255
66,14.2788
67,14.7063
68,14.7874
69,15.0031
70,15.0711
71,15.4635
72,15.4959
73,15.7391
74,15.9529
75,16.2943
76,16.3969
77,16.6266
78,16.9109
79,16.9944
80,17.196
81,17.3905
82,17.5383
83,17.7687
84,17.8595
85,18.1306
86,18.4955
87,18.7419
88,18.9679
89,19.0612
90,19.2834
91,19.4036
92,19.644
93,20.034
94,20.1745
95,20.3502
96,20.5487
97,20.6505
98,20.7569
99,21.1108
100,21.2643
101,21.403
102,21.6727
103,22.1197
104,22.2863
105,22.3223
106,22.591
107,22.8138
108,23.1905
109,23.2905
110,23.8085
111,23.9781
112,24.6897
113,24.9162
114,25.2122
115,25.4129
116,25.9279
117,26.1285
118,26.3964
119,26.5488
120,27.2603
121,27.848
122,27.9961
123,28.3372
124,28.6039
125,29.2143
126,29.4931
127,30.1432
128,30.7141
129,30.8698
130,31.0877
131,31.8354
132,32.9208
133,33.1544
134,33.9218
135,34.076
136,36.0582
137,36.2422
138,36.6953
139,37.0245
140,37.089
141,38.5832
142,39.3918
143,40.1357
144,41.5027
145,43.293
146,44.8937
147,45.6345
148,49.4508
149,51.4491
