coeff_index,form0
0,-1.26478
1,-4.70974
2,6.00101
3,-0.108536
4,0.372892
5,-0.235158
6,-0.156682
7,-0.704957
8,0.750063
9,0.328867
10,-0.0290715
11,0.00645915
12,-1.9083
13,0.45038
14,-1.64658
15,0.0839666
16,2.13952
17,-0.0614778
18,1.7548
19,0.582356
20,0.847633
21,0.122445
22,-2.35029
23,0.322469
24,1.40298
25,-0.152705
26,-2.31583
27,-0.0144272
28,-0.119525
29,0.168942
30,0.190616
31,-0.100944
32,0.507626
33,0.174032
34,-0.205291
35,-0.110253
36,-0.28617
37,-0.0794895
38,0.0666545
39,0.0292825
40,0.212141
41,0.30704
42,-0.133875
43,-0.0292026
44,-0.126721
45,0.148738
46,-0.253388
47,-0.181032
48,0.0198413
49,-0.0644267
50,-0.140143
51,-0.0742588
52,-0.033399
53,-0.217779
54,0.192158
55,-0.0386025
56,-0.110338
57,0.0602246
58,0.109331
59,0.0615066
60,0.308201
61,-0.000882103
62,0.168442
63,-0.386033
64,-0.0219241
65,0.0706065
66,-0.193858
67,-0.258258
68,0.0907271
69,-0.0335245
70,0.0550781
71,-0.10284
72,-0.0265121
73,-0.121886
74,0.0268933
75,-0.0773793
76,0.0605243
77,0.239789
78,0.0187682
79,0.212913
80,-0.0850699
81,0.402391
82,-0.138767
83,0.129357
84,0.155315
85,0.0411825
86,-0.204378
87,0.145863
88,0.0843062
89,0.103473
90,0.257278
91,-0.379024
92,0.0631779
93,0.0645935
94,0.0119025
95,-0.0287771
96,-0.0525626
97,-0.354086
98,-0.14024
99,0.119955
100,0.12133
101,-0.195907
102,-0.128287
103,-0.0895164
104,0.0351825
105,0.070768
106,0.0301396
107,0.150832
108,-0.229095
109,0.061463
110,-0.284653
111,0.0105659
112,-0.112887
113,0.00272156
114,0.166606
115,-0.101129
116,-0.0243313
117,-0.0787271
118,0.0677115
119,0.191059
120,0.0399657
121,-0.0384512
122,0.00901126
123,-0.133225
124,-0.210976
125,0.211307
126,-0.0353553
127,0.125741
128,0.147608
129,0.0382628
130,0.115083
131,-0.0842108
132,-0.0358673
133,0.00913525
134,0.252181
135,-0.134469
136,-0.128711
137,0.104522
138,-0.00490634
139,0.190971
140,0.000456334
141,0.0643974
142,-0.00849882
143,0.0726178
144,0.0995391
145,0.0577676
146,0.145039
147,0.08949
148,0.134319
149,-0.152174
