coeff_index,form0,form1,form2
0,-0.107004,0.335835,-0.16262
1,0.0841191,0.430027,-0.274087
2,-0.0648048,-0.326711,-0.52301
3,0.694966,0.216876,-0.385781
4,0.686102,6.55838,-3.45305
5,-0.257073,-3.52435,-6.14688
6,0.155171,0.251857,-6.912
7,-0.426589,0.130101,2.42112
8,-0.593465,-0.00557175,-0.886692
9,0.636203,7.14484,0.0197352
10,-0.683065,-0.486028,-1.18288
11,0.486031,-0.442366,-1.96734
12,-0.049599,0.0532878,-0.211764
13,0.0299431,-0.0684004,0.132199
14,-0.0858786,0.102544,0.175522
15,0.0685081,0.094817,-0.24548
16,-0.0946376,0.342641,-0.0065539
17,-0.0393971,-0.180483,-0.391443
18,0.0578976,-0.0143717,0.0417295
19,-0.00871961,0.185491,-0.253298
20,-0.0890632,-0.0154094,-0.28695
21,0.0992103,0.0897516,-0.0417967
22,0.0693102,0.233082,-0.0692607
23,-0.0232251,-0.153294,-0.214238
24,0.0553525,0.0244035,-0.209119
25,0.096541,0.163199,-0.107878
26,-0.0875653,-0.0962681,-0.305215
27,-0.0991781,0.106566,0.0164834
28,0.0254428,-0.178488,-0.0169125
29,0.10052,0.106992,0.0969571
30,-0.109226,0.00923338,-0.130061
31,0.041998,-0.123793,0.0355224
32,-0.0323674,0.0241158,0.0614755
33,-0.00272975,0.178377,-0.083106
34,-0.116506,0.0339154,0.0282449
35,0.00286849,-0.0488392,-0.0450796
36,0.189428,-0.07943,-0.0972245
37,0.0356392,0.140574,-0.0230232
38,-0.00302592,-0.0807976,-0.0369282
39,-0.109541,-0.0544562,0.0670068
40,-0.0220882,-0.0534578,0.0278316
41,0.0619927,0.0418309,0.146529
42,-0.11398,0.155655,0.102475
43,0.000806741,-0.12847,-0.110049
44,0.132528,0.060045,0.11159
45,-0.107778,-0.0157267,0.153425
46,-0.0518178,-0.133695,0.0324115
47,0.0558103,0.0396691,0.118888
48,0.0981854,-0.1686,0.14469
49,0.101689,0.00204873,-0.0422846
50,0.0271059,0.0315048,0.0120018
51,-0.00957439,0.19613,0.0472167
52,-0.166115,-0.113146,-0.0516748
53,0.0127843,0.0765571,0.104802
54,0.184272,0.00538792,-0.0436645
55,-0.0356953,0.092802,-0.0327021
56,-0.0443904,-0.0668672,-0.183629
57,0.106472,-0.0482316,0.0743774
58,-0.0869579,0.127091,0.000890911
59,0.101365,-0.0171048,-0.0516161
60,0.0348671,-0.0191955,0.0271522
61,-0.134396,0.0902796,-0.103479
62,0.0657771,-0.0211782,-0.0318801
63,0.0847051,-0.0250872,-0.152247
64,-0.0468761,0.0560555,0.0471003
65,-0.0376707,0.0163074,-0.0891855
