x,y,z,form0_x,form0_y,form0_z,form1_x,form1_y,form1_z,form2_x,form2_y,form2_z
-1.95387,-2.27208,0.0816387,0.52737,-0.448019,0.0176244,0.00893275,-0.0746449,-0.568867,0.775102,-0.694301,-0.1967
-0.306213,2.45033,-0.882991,-0.876134,-0.00386002,0.096371,0.212296,-0.587921,-0.32843,0.439098,-0.629478,-0.38276
0.967313,0.254681,0.0236018,-0.393718,1.43609,0.0107508,-0.0383018,0.104496,0.919755,0.37223,-1.33302,-0.247586
1.07415,0.111949,0.391847,-0.181601,1.20525,-0.127944,0.415372,0.00324747,0.989136,0.0693587,-1.0013,-0.140384
0.463675,-1.10426,-0.596871,1.20457,0.520331,-0.0125971,-0.355696,0.534272,0.787951,0.390261,-0.507437,-0.707464
2.20874,-1.34864,-0.808913,0.14072,0.452898,-0.11929,-0.561575,0.690586,-0.685271,0.366595,-1.10594,0.76729
-1.36669,-1.0828,0.966583,0.780516,-0.419387,-0.0673575,-0.701517,-0.308132,0.177882,0.305118,-0.510103,0.0314422
-0.24283,-1.8745,0.993949,0.699905,-0.128288,0.0166481,-0.382508,-1.13253,0.182203,0.265579,-0.367845,0.0580466
-2.84183,-0.79907,0.305993,0.161373,-0.628567,0.0633843,-0.172392,-0.16022,-0.73939,0.15913,-0.95238,-0.23375
1.74146,-0.752654,0.994696,0.244703,0.272963,0.0190742,0.744951,-0.175031,0.0797331,-0.0662711,-0.227801,-0.00492873
1.1719,-2.66874,0.404124,0.494651,0.216144,0.0164852,0.0290102,-0.255469,-0.717251,-0.151897,0.0350277,0.306819
2.96566,0.0510337,0.258162,0.0318924,0.633802,-0.137152,0.174316,0.174213,-0.562804,-0.114838,-0.982134,0.422323
0.658751,-0.82327,-0.325288,1.24761,1.09078,0.14129,-0.1383,0.384023,1.07399,-0.174968,-0.499669,-0.640391
2.35053,0.503516,0.914823,0.000475856,0.856879,-0.125032,0.622736,0.227559,-0.243009,-0.251715,-1.19635,0.270804
-0.368816,-2.86951,0.44983,0.407714,0.0186917,0.191512,-0.0671743,-0.17244,-0.333527,0.255644,-0.0283763,0.0587984
1.29069,2.55912,-0.499738,-0.41301,0.277588,0.112054,-0.303216,-0.434276,-0.92331,0.549392,-0.591801,-0.464046
1.6932,-1.96544,0.804316,0.410121,0.538504,0.106456,0.250934,-0.785023,-0.534175,-0.311055,-0.0912692,0.101995
-2.73227,-0.72833,0.561204,0.113755,-0.56674,-0.0160077,-0.433156,-0.324355,-0.699068,0.0136917,-0.898308,-0.269716
-0.916684,2.83874,-0.183195,-0.658435,-0.164055,0.0666795,-0.0569403,-0.0686078,-0.641042,0.0615995,-0.0704842,-0.679928
-1.32792,0.701098,-0.866967,-0.681312,-0.769252,-0.11349,0.835674,-0.24694,0.459997,0.473069,-0.890361,0.440506
1.81906,0.32714,-0.988418,-0.260071,0.911019,-0.00135792,-0.987111,-0.127803,0.13591,0.957868,-1.30218,-0.0718435
0.76556,0.758696,-0.386766,-1.06819,1.02632,0.0999042,-0.420748,-0.0724257,0.804806,0.766432,-0.820303,0.0150211
-1.38891,-2.55007,0.427994,0.63544,-0.200795,0.254539,-0.146891,-0.203369,-0.497396,0.626114,-0.333081,-0.00520771
-1.53249,-2.03281,-0.837949,0.335245,-0.416206,0.0755316,0.259081,0.801726,-0.49624,0.422544,-0.925947,0.277278
-0.84561,-0.74915,0.492569,0.898588,-0.960823,-0.114386,-0.214523,-0.337792,0.693369,0.524528,-0.735113,0.100419
-0.908174,0.814174,0.6254,-0.605271,-0.83904,-0.161669,-0.481276,0.349332,0.68951,-0.274732,-0.291711,0.0315136
2.65944,-0.0466261,0.751395,-0.0554081,0.641429,0.0352837,0.613732,-0.121127,-0.615378,-0.251199,-0.721549,0.28866
2.73749,-0.331238,0.652881,0.123444,0.430596,-0.122194,0.616046,0.134019,-0.72645,-0.473489,-0.573981,0.539147
