x,y,z,wedge_x,wedge_y,wedge_z
-1.95387,-2.27208,0.0816387,0.360131,0.354025,0.0192861
-0.306213,2.45033,-0.882991,0.134033,-0.342069,1.42151
0.967313,0.254681,0.0236018,1.9322,0.564393,0.208845
1.07415,0.111949,0.391847,1.96392,0.266311,-0.681026
0.463675,-1.10426,-0.596871,0.755773,-1.31056,1.15366
2.20874,-1.34864,-0.808913,-0.839049,0.0491313,1.14453
-1.36669,-1.0828,0.966583,-0.105382,0.106541,-1.12776
-0.24283,-1.8745,0.993949,0.261899,-0.111452,-1.3546
-2.84183,-0.79907,0.305993,0.705957,0.0874366,-0.0813735
1.74146,-0.752654,0.994696,0.324142,-0.275002,-0.689438
1.1719,-2.66874,0.404124,-0.356478,0.516539,-0.379835
2.96566,0.0510337,0.258162,-0.763117,-0.175651,-0.0664016
0.658751,-0.82327,-0.325288,1.11989,-1.41813,0.852738
2.35053,0.503516,0.914823,-0.271182,-0.0676893,-1.14171
-0.368816,-2.86951,0.44983,0.121269,0.122059,-0.414272
1.29069,2.55912,-0.499738,-0.37906,-0.762726,0.322044
1.6932,-1.96544,0.804316,-0.502296,0.54894,-0.570955
-2.73227,-0.72833,0.561204,0.667246,0.0993504,-0.247903
-0.916684,2.83874,-0.183195,0.152172,-0.751764,0.200677
-1.32792,0.701098,-0.866967,-0.339521,0.313372,1.17171
1.81906,0.32714,-0.988418,-0.480007,0.188098,1.42501
0.76556,0.758696,-0.386766,1.34346,1.39851,0.722597
-1.38891,-2.55007,0.427994,0.306526,0.184159,-0.517216
-1.53249,-2.03281,-0.837949,0.387675,0.334801,0.854089
-0.84561,-0.74915,0.492569,-1.18618,-1.01885,-0.722463
-0.908174,0.814174,0.6254,-0.677643,0.849629,-0.979886
2.65944,-0.0466261,0.751395,-0.38117,-0.0176267,-0.726021
2.73749,-0.331238,0.652881,-0.44325,0.0483092,-0.448359
-0.397863,-0.928065,-0.139321,-0.737411,-1.96721,0.397055
-0.639216,-0.885165,-0.418623,-0.91462,-1.52105,0.706315
-0.379778,-0.932515,-0.117135,-0.717595,-1.97282,0.360402
-0.951705,0.798243,-0.652428,-0.739467,0.703706,1.05139
1.79671,2.04046,-0.695265,-0.457707,-0.425851,0.57854
-0.17825,-0.98434,-0.0264167,-0.40984,-1.96953,0.0850865
-1.25857,-0.202211,0.688441,-0.931626,-0.148026,-0.862002
-0.723818,1.82007,0.999147,0.370155,-0.266603,-1.05718
-1.64384,0.146687,0.936887,-0.049013,-0.052195,-1.01814
0.823865,-0.686038,-0.372835,1.25514,-1.19289,0.870936
2.08813,-0.918554,-0.959638,-0.779523,0.0230004,1.30201
-0.669087,0.83199,0.361566,-1.14295,1.4973,-0.637605
-2.6727,-1.2892,0.253326,0.578983,0.128448,0.00150373
-1.03809,2.14043,0.925445,0.418883,-0.536535,-0.887388
-2.35767,-1.58716,0.539282,0.387241,0.338249,-0.420722
-0.787021,1.27688,0.865994,0.106533,0.209331,-1.16458
-1.24256,1.00682,-0.916192,-0.258366,0.339626,1.21501
0.893592,-0.736653,-0.539613,1.02577,-1.03869,1.08053
0.211043,1.46034,-0.851415,0.127907,0.695109,1.52098
-0.744019,-0.72726,0.281433,-1.38554,-1.36756,-0.500138
2.39414,1.39597,0.636361,-0.641413,-0.25324,-0.559316
0.850286,-1.48758,0.958062,0.0728447,-0.319316,-1.21258
0.231538,-0.975262,-0.0688123,0.656531,-1.98673,0.114211
0.0667547,0.997928,0.0178121,0.125909,1.81322,0.146184
1.45576,-1.42885,0.999207,-0.187031,0.195271,-0.787028
2.29127,0.883416,-0.890145,-0.750139,0.13906,1.10111
-0.559627,0.931296,0.406851,-1.01546,1.5175,-0.642345
1.5037,2.07733,-0.825466,-0.381847,-0.42546,0.704002
-1.81093,0.584141,0.995266,0.309445,0.0312129,-1.05504
0.84203,-2.81078,-0.356767,0.108847,0.525842,0.371372
0.335234,2.74261,0.646372,-0.0849814,-0.935871,-0.282361
2.00798,0.680745,-0.992745,-0.619451,0.200888,1.31813
-2.46985,1.6887,0.126495,0.662142,-0.0761078,-0.305786
0.663067,1.97765,0.996309,-0.275001,-0.22857,-0.52678
2.26194,1.45053,-0.726584,-0.707615,-0.0154124,0.793722
-1.23564,-0.682665,0.808629,-0.485754,-0.0603304,-1.00715
-0.876943,2.77614,-0.411632,0.144618,-0.706258,0.368157
-1.36666,-2.56148,-0.429091,0.267441,0.347197,0.557971
0.720567,2.19492,-0.950682,-0.113623,-0.344192,1.1574
1.12674,-0.428892,0.607404,1.44368,-0.556057,-0.840218
-1.73996,1.97084,-0.777402,0.275043,-0.228208,0.76094
0.816701,0.637579,0.26627,1.49832,1.42266,-0.311776
-1.86057,-1.95919,0.712295,0.326961,0.293638,-0.525017
2.33032,-1.14789,-0.801723,-0.870308,0.0214314,1.16718
-2.23758,0.879791,-0.914616,0.439635,0.0247268,0.823228
