mode,lambda
0.0,0.32521578624313413
1.0,1.4424881803079375
2.0,1.5805726786757177
3.0,1.7331056751161544
4.0,3.4395747894550466
5.0,3.781307433508423
6.0,4.023513359810448
7.0,4.231765160368132
8.0,4.568090896474202
9.0,4.891645376498036
10.0,5.120370188602717
11.0,5.182963482184664
12.0,5.271698050646922
13.0,5.583035370296099
14.0,5.725245250864763
15.0,5.782427700687417
16.0,6.134129010982938
17.0,6.424585235353764
18.0,6.4495167840997025
19.0,6.783338036047058
20.0,7.068271899610837
21.0,7.144260304179215
22.0,7.242152244682475
23.0,7.353846859419006
24.0,7.588643013457329
25.0,7.717255522430208
26.0,8.267112146584038
27.0,8.312817270651383
28.0,8.571409320167389
29.0,8.768195960714522
30.0,8.938361073471416
31.0,9.164046387295889
32.0,9.217012561740768
33.0,9.47945568177079
34.0,9.58026377848101
35.0,9.923467964266607
36.0,10.255688099453172
37.0,10.389246922836172
38.0,10.52288110430054
39.0,10.757134074772065
40.0,10.871911445569717
41.0,11.023676843120127
42.0,11.259672486147444
43.0,11.450135655850731
44.0,11.489700267825008
45.0,11.716947682470543
46.0,11.942081674086387
47.0,12.419295583671381
48.0,12.483552575443156
49.0,12.588058790095264
50.0,12.720340922406658
51.0,13.144313346939391
52.0,13.259924108059867
53.0,13.379482052955874
54.0,13.527061055441035
55.0,13.645170357241328
56.0,13.857892634952918
57.0,14.041376964456582
58.0,14.27304751571296
59.0,14.387344533456305
60.0,14.561342852416963
61.0,14.61906760109416
62.0,14.794792469684356
63.0,15.20859513657475
64.0,15.499938425080142
65.0,15.540252579793377
66.0,15.664693360672395
67.0,15.746658835978723
68.0,15.949159767327584
69.0,16.14126909904347
70.0,16.338516374604964
71.0,16.489553097533904
72.0,16.514219556381768
73.0,16.616948778140312
74.0,16.97376968711735
75.0,17.352012585050165
76.0,17.39450528540339
77.0,17.61883907104937
78.0,17.721433898583086
79.0,17.820324264850203
80.0,18.37493011480729
81.0,18.478737979175925
82.0,18.847126810367175
83.0,19.188639788477804
84.0,19.331306912046138
85.0,19.511426367057414
86.0,19.57870286147223
87.0,20.173849327914226
88.0,20.4750578175472
89.0,20.578102149817763
90.0,20.928635268373338
91.0,21.363063449575392
92.0,21.492123589666154
93.0,21.764364328977877
94.0,21.96633572793308
95.0,22.15423086328659
96.0,22.562572141325923
97.0,22.949538036726015
98.0,23.064350216652507
99.0,23.41666270516814
100.0,23.7100027300269
101.0,23.886183933983926
102.0,24.297258278957102
103.0,24.41683925886066
104.0,24.62130651080695
105.0,24.708448116333503
106.0,24.964618549069318
107.0,25.734695936621915
108.0,25.82758405002276
109.0,26.322434458817398
110.0,26.841077459941022
111.0,27.01381650876831
112.0,27.543578733919286
113.0,27.98091515417368
114.0,28.213698893605518
115.0,28.473785950165137
116.0,28.63702206535243
117.0,29.30002241966957
118.0,29.55533044737275
119.0,30.137891623179762
120.0,30.342873369305327
121.0,30.499256984812227
122.0,30.908207273033746
123.0,31.449801999824633
124.0,31.714216658412806
125.0,32.516159781828996
126.0,32.67863735419194
127.0,33.08237910081897
128.0,33.23362799278772
129.0,33.41545190420327
130.0,34.301722077561266
131.0,35.044153305976046
132.0,35.08357843813344
133.0,35.40602474579377
134.0,36.34368103919169
135.0,36.5825924975078
136.0,36.91296997311333
137.0,37.71032493372522
138.0,38.32792519238484
139.0,39.0501632770548
140.0,39.99042397200752
141.0,40.215615136302894
142.0,41.4815064500466
143.0,43.248688484603974
144.0,44.293570950546304
145.0,44.87681377666453
146.0,45.53727001626818
147.0,46.426756015841534
148.0,51.04531881420127
149.0,53.008614761524925
