x,y,z,form0_x,form0_y,form0_z,form1_x,form1_y,form1_z,form2_x,form2_y,form2_z
-0.147756,-0.17182,-0.973985,-0.593444,-0.892926,0.993215,-6.50675,-10.6862,2.68796,-10.5811,5.98587,0.282411
-0.0936441,0.749344,0.655526,0.514265,-0.596664,-2.37933,4.97003,7.65951,-8.79045,10.3065,-3.16586,5.63862
0.967017,0.254603,-0.00751338,-1.6594,-0.88652,-0.0394363,0.532815,-0.609291,-8.43349,1.34008,-5.05992,-9.17479
0.98641,0.102805,-0.128164,-2.11126,-1.87775,0.211953,-0.640682,-2.75536,-7.07515,-1.10979,-3.98994,-10.5288
0.379042,-0.902706,0.203589,-0.0747781,1.57688,0.769832,0.415706,1.43846,7.58021,-1.98264,-2.77962,-9.70245
0.609458,-0.372131,0.700056,-0.588203,1.09009,-1.50615,3.48518,6.15616,-0.0465794,5.33189,-7.4715,-9.42134
-0.712241,-0.564291,-0.417479,0.605703,0.637253,1.89205,-3.05414,-3.74363,10.0822,-6.54357,5.43605,4.37429
-0.113739,-0.877992,-0.464966,0.468257,0.484435,1.25525,-3.6754,-5.23398,10.4848,-8.21484,3.33216,-3.75446
-0.417601,-0.117422,-0.901012,0.680865,-0.791378,0.785863,-6.26643,-9.62161,4.45115,-9.29879,6.45711,3.41607
0.811593,-0.350769,-0.467202,-1.23282,0.533201,-0.238836,-2.01529,-4.58281,-0.44436,-5.05475,0.170527,-9.10785
0.199948,-0.455337,-0.867576,-0.453378,-0.544143,1.27698,-5.84154,-10.1291,3.59296,-11.2062,4.26258,-5.24401
0.399097,0.00686774,-0.916883,-0.496806,-1.292,0.968559,-5.66651,-11.217,-2.54191,-9.75931,4.19121,-3.95535
0.621289,-0.776452,0.105461,-0.498103,1.19222,0.950086,0.146411,0.742082,4.95617,-2.12013,-3.59094,-11.6248
0.757514,0.16227,-0.63233,-1.71448,-1.8463,-0.11608,-3.75087,-8.09553,-6.41873,-6.21945,0.516359,-7.49757
-0.0668483,-0.520101,-0.851485,0.20997,-0.320622,1.10655,-5.83452,-9.4667,6.24058,-10.6441,5.5364,-2.23766
0.248856,0.493423,0.833429,-0.268556,0.359584,-2.18313,5.72695,10.0761,-7.0929,11.9937,-6.91992,-0.8932
0.464485,-0.539168,-0.702532,-0.734829,-0.29009,1.29936,-5.05978,-8.71058,3.1783,-10.2654,2.43226,-8.0851
-0.566191,-0.150927,-0.810338,0.782565,-0.410463,1.028,-5.64815,-8.68824,5.42158,-8.68673,6.9519,4.70468
-0.103686,0.321089,0.941356,0.709701,0.145758,-1.56896,5.56941,10.8903,-2.45514,10.8727,-5.20488,2.97226
-0.833553,0.440089,0.333934,0.940525,-0.175314,-0.481339,2.44279,4.7229,0.101942,5.66236,1.85943,11.6566
0.878179,0.157931,0.451508,-0.631946,0.845361,-1.4457,2.94293,4.04314,-6.76726,5.47696,-7.13979,-8.26123
0.704586,0.698269,0.126408,-1.09496,-0.93369,-0.446189,1.52678,0.152397,-12.3455,4.41272,-3.99881,-3.57482
-0.244707,-0.449287,-0.859221,0.679082,-0.192235,1.19353,-5.99153,-9.35477,7.14784,-10.444,6.3499,-0.218139
-0.439272,-0.582684,0.683755,1.28457,1.682,0.24963,3.27269,7.73541,8.38176,4.09218,-1.77093,1.25278
-0.738381,-0.654153,-0.163942,0.704771,0.782257,1.4572,-1.41976,-0.333952,11.1279,-4.10884,3.96151,3.93123
-0.727167,0.651902,-0.215064,0.468404,-0.798337,0.317055,-0.804958,-1.98578,-2.79648,0.187672,4.73076,11.431
0.684002,-0.0119921,-0.729382,-1.17721,-1.42387,0.25264,-4.16345,-8.71919,-4.13308,-7.40799,1.17348,-7.46927
0.629134,-0.0761255,-0.77356,-0.837707,-1.12133,0.546183,-4.51888,-9.18819,-2.68324,-8.2455,1.71184,-7.21449
-0.39363,-0.918192,0.0444919,0.377141,0.896444,1.12959,-0.837627,0.37782,12.3695,-4.53956,1.87301,-1.61655
-0.579889,-0.803011,0.137487,0.560375,0.951108,1.01941,-0.502674,1.50933,11.8953,-3.07322,2.32429,1.40379
-0.376918,-0.925493,0.0373711,0.368985,0.898194,1.11223,-0.850209,0.324751,12.3792,-4.59063,1.83321,-1.79385
-0.746308,0.625967,0.226249,0.517186,-0.660118,-0.656285,2.08388,3.55536,-2.13271,5.20493,2.04884,11.7853
0.433122,0.491881,0.755287,-0.230258,0.291146,-2.10035,5.17943,8.421,-7.85297,10.8891,-6.69937,-1.70959
-0.178181,-0.983962,0.00840969,0.201224,1.04838,0.616039,-0.866301,-0.069131,12.1886,-4.76116,1.07996,-4.12227
-0.958063,-0.153929,-0.241705,0.7009,-0.804223,-0.208524,-1.6785,-1.27177,7.34844,-2.68387,4.95321,8.21878
-0.322784,0.811654,-0.486855,-0.0360612,-1.56538,-0.119087,-1.96758,-4.79237,-6.63564,-1.73027,4.55862,8.92198
-0.91872,0.0819818,-0.386307,0.57296,-1.88857,0.626094,-2.65911,-3.72314,4.70983,-3.54502,5.82444,9.21403
0.762754,-0.635151,0.121614,-1.01551,0.698725,0.643601,0.10612,0.395405,2.1373,-1.69667,-4.11872,-12.5001
0.738559,-0.324887,0.590745,-0.659939,1.11207,-1.34289,3.0749,5.42007,-0.682758,4.62356,-7.34562,-9.9279
-0.622329,0.773847,-0.117758,-0.129972,-1.30135,-0.965764,0.405591,-0.240212,-5.18172,2.11635,3.03288,10.7352
-0.356204,-0.171818,-0.918475,0.596449,-0.777044,0.774088,-6.4655,-9.86078,4.55129,-9.61381,6.3095,2.79123
-0.341104,0.703319,-0.623691,0.21623,-1.71984,0.18658,-3.11404,-6.60137,-5.67768,-3.4882,5.60427,8.33244
-0.476348,-0.320672,-0.818696,0.81745,0.12607,1.16044,-5.85531,-8.81171,7.13769,-9.69088,7.11226,3.09675
-0.494696,0.802607,-0.333313,-0.0757599,-1.43393,-0.257657,-1.26595,-3.38053,-5.86027,-0.686423,4.27303,9.89842
-0.722203,0.585187,0.368753,0.590755,-0.582132,-0.820831,2.7045,4.69508,-2.04214,6.31968,1.23744,11.3302
0.758805,-0.625538,0.181429,-0.951459,0.78638,0.536434,0.433476,1.02583,2.21619,-1.10768,-4.51297,-12.2905
0.135303,0.936243,0.324255,0.175715,-0.951922,-2.15883,2.75835,4.00025,-11.4706,8.16159,-2.69337,5.06868
-0.71216,-0.696119,-0.0908097,0.691811,0.832472,1.44483,-1.13448,0.265507,11.3675,-3.76235,3.63583,3.57363
0.540122,0.314933,-0.780439,-1.2292,-1.67242,0.158172,-4.54453,-9.56738,-7.44081,-7.17389,2.19351,-4.07892
0.453176,-0.792833,-0.407488,-0.849893,0.498526,1.17736,-3.23411,-4.82755,5.93391,-7.1975,0.625879,-10.0845
0.230935,-0.972722,0.021921,-0.150032,1.38452,0.559002,-0.620447,-0.319364,9.33316,-3.93016,-0.956562,-8.65013
0.066743,0.997754,-0.00567007,-0.0805131,-1.24495,-1.75204,0.735563,-0.123574,-11.3202,4.33619,-0.215883,5.69769
0.612744,-0.601421,-0.512677,-0.995079,0.0656312,1.0935,-3.80946,-6.37009,3.20595,-8.00821,0.965401,-10.0748
0.708576,0.273196,0.650603,-0.293826,1.00293,-2.0548,4.28013,6.5218,-6.8027,8.31657,-7.14986,-5.8779
-0.510468,0.84949,-0.133373,-0.271724,-1.48501,-1.21577,0.365751,-0.454196,-6.3018,2.14451,2.7321,10.2489
0.423905,0.585615,0.690912,-0.172946,-0.0328536,-1.97831,4.86295,7.41641,-8.79842,10.4836,-6.24956,-0.987913
-0.840544,0.271129,-0.469015,0.69681,-1.48944,1.11778,-2.97161,-4.96632,1.93406,-3.58262,6.30057,9.89354
0.134221,-0.448043,0.883879,-0.462837,1.30207,-0.37959,4.4294,9.46323,4.28206,6.53843,-6.46653,-4.35268
0.0764835,0.625725,-0.776285,-0.121005,-1.777,0.25527,-3.97818,-8.94307,-8.02889,-5.0043,5.06712,4.29545
0.798095,0.27057,0.538365,-0.464496,0.789744,-1.64595,3.52771,4.79224,-7.55137,6.83467,-7.01365,-6.86231
-0.232191,0.158755,-0.959627,-0.159549,-1.68183,0.531754,-5.22887,-9.67343,-0.564585,-9.04768,6.643,3.32167
0.270092,0.80557,-0.527359,-0.962357,-1.12143,-0.431743,-2.05202,-6.48369,-10.262,-2.25575,2.18911,1.62763
0.565163,0.362425,0.741107,-0.253355,0.836686,-2.18354,4.86997,7.85992,-6.87767,9.75285,-7.09798,-4.19178
-0.835039,-0.46134,-0.29979,0.481805,0.727098,0.574725,-2.48778,-2.20841,9.75053,-4.82926,4.74572,5.85725
-0.151163,0.478535,0.864959,0.840992,-0.18022,-1.78178,5.45255,9.94068,-3.91706,10.7779,-4.35728,4.39145
-0.241135,-0.451949,0.858834,0.62445,1.47806,0.130312,4.45625,9.29428,6.16899,6.18475,-3.46016,0.155551
0.249439,0.759814,0.600385,0.0829273,-0.506861,-2.0399,4.4053,6.50513,-10.0596,10.1074,-4.95527,1.96613
0.914183,-0.347983,-0.207789,-1.75663,-0.459526,0.312546,-1.05284,-2.64318,-1.89479,-3.17107,-2.64175,-11.9598
-0.46166,0.52292,0.716537,0.873443,-0.115605,-1.33928,4.60105,8.07259,-2.2988,9.55664,-1.96766,8.23156
0.785338,0.613094,-0.0857913,-1.80596,-0.736478,-0.428583,0.231061,-1.27071,-12.3668,2.26488,-3.28797,-4.67456
