coeff_index,form0,form1,form2
0,0.021938,-0.0315899,0.349566
1,-0.0280533,-0.0167138,-1.03482
2,-0.000125937,-0.108115,0.0155466
3,0.558581,0.0259074,-0.00121778
4,0.365689,0.0330848,-0.0207556
5,-0.0117067,0.0203504,0.182037
6,-0.351251,-0.0449006,0.0258888
7,0.591963,0.0109689,0.0112425
8,0.0122176,0.00391785,0.086369
9,-0.13391,0.026607,-0.0436318
10,0.0110171,0.0522719,0.194679
11,0.0424042,-0.486055,-0.062349
12,0.00130697,0.0689698,-0.142958
13,-0.0278297,-0.0851459,0.187725
14,-0.00029393,-0.233673,-0.0226597
15,-0.0125655,0.0362701,-0.22863
16,-0.0661693,-0.0995449,0.266018
17,0.0183297,0.138906,-0.0265859
18,0.013156,0.00611195,0.034516
19,-0.0534567,0.0910375,0.0125903
20,-0.00800771,0.462323,0.0342552
21,0.0688075,0.134308,0.0489131
22,0.0648897,-0.560562,0.00802392
23,0.00188104,0.119313,-0.158916
24,0.030226,-0.553917,0.011953
25,0.108784,-0.156521,0.00868435
26,-0.0361741,-0.0579404,-0.00231313
27,-0.232822,-0.0611419,-0.026649
28,-0.227974,-0.164068,-0.000139716
29,-0.0202457,-0.00708617,0.23736
30,-0.250827,0.0318616,0.0320456
31,0.16776,-0.0810375,0.0108349
32,0.00260105,0.236952,-0.0163813
33,-0.020639,0.0670375,-0.0345662
34,0.0265845,-0.0112896,-0.00390391
35,0.0108294,-0.0921509,-0.0109107
36,-0.0447109,-0.0351999,-0.0885881
37,-0.0107795,0.00661803,0.0140425
38,-0.0396925,-0.0143427,0.0186838
39,-0.0143695,0.0323935,-0.0670265
40,0.0144441,0.112017,-0.102562
41,-0.0367619,0.123233,-0.0581563
42,-0.0217394,0.0891812,0.0826721
43,0.0290562,-0.0493793,-0.104344
44,0.0358324,0.0748151,-0.0682837
45,-0.010667,0.0195782,-0.0428406
46,0.0109708,-0.0132036,0.0360821
47,0.0117083,0.00166929,-0.0248141
48,-0.0148683,0.0191663,-0.0157322
49,0.0484987,0.0328575,-0.00969463
50,-0.0232308,-0.0241204,-0.0176468
51,0.0727242,-0.0143703,0.00522614
52,-0.0383706,0.033054,0.0127091
53,0.0236663,0.0113717,-0.0361688
54,0.00988147,0.0512263,0.0130969
55,0.00517414,-0.00188778,-0.0138512
56,-0.0159127,-0.0333173,-0.0115549
57,0.0498169,-0.0109269,0.0246144
58,-0.00922292,-0.00403643,0.0151056
59,-0.0722341,0.00275957,-0.0664377
60,0.00111883,-0.0312809,-0.00190918
61,-0.00380494,0.0119084,0.0443698
62,-0.0142777,-0.0108285,0.0388524
63,0.00682114,0.0173733,-0.0085036
64,0.0636985,-0.0436016,0.0215868
65,0.0252562,-0.00214008,-0.0518154
66,0.0749412,0.0209684,-0.0287271
67,0.000259511,-0.0182337,0.0254703
68,0.0245241,0.0210259,0.00629722
69,-0.0578853,-0.00778712,0.00133571
70,0.0116426,0.034581,-0.0442722
71,0.00827224,0.0132419,-0.0364182
72,0.0270535,-0.0344603,0.00435439
73,-0.0175026,-0.0303609,0.0580786
74,0.0100674,0.0540533,0.0047866
75,-0.0151179,-0.0446577,-0.00220533
76,-0.0270406,0.0283721,-0.0228557
77,0.0213187,0.0123412,0.0214251
78,0.00538778,-0.00729176,-0.0449303
79,0.0131886,0.0391708,-0.0132717
80,-0.00169775,-0.00586439,-0.0482028
81,0.0227872,-0.0316463,0.03411
82,-0.0185776,-0.0493518,0.0262758
83,-0.00283588,0.0295998,0.0362836
84,-0.00553453,0.0121059,0.0179984
85,0.0359189,0.00143733,-0.0327255
86,0.00504882,0.0255642,-0.012956
87,-0.0134912,0.0392608,0.0284102
88,-0.0165227,0.0199885,0.0243928
89,0.00326743,0.00327493,-0.0398762
90,-0.00149905,-0.0410902,0.00527567
91,-0.00614022,-0.0338594,0.00093037
92,0.0172643,0.0100859,-0.0590516
93,0.0177004,0.0125594,-0.00704543
94,0.0286228,0.0422676,-0.0322317
95,-0.00843263,0.000906258,0.0128852
96,0.0390282,0.0046289,-0.0587637
97,-0.0313244,0.00654086,-0.00579763
98,-0.018995,-0.00246347,-0.00134029
99,0.00942224,-0.00067463,-0.0174458
100,0.0175497,-0.00537295,0.0459398
101,-0.0150668,-0.00629209,-0.0128947
102,-0.00181837,0.00904399,-0.0294641
103,-0.0308892,0.00213231,0.0239898
104,0.0135225,0.0180851,-0.0066576
105,-0.00404903,-0.0247876,0.0259914
106,-0.0133017,0.0280287,-0.0327134
107,0.00598284,-0.00753011,0.00740797
108,-0.0178479,0.0356644,-0.000339514
109,0.0168302,-0.0360628,-0.0106722
110,-0.0154194,0.0259444,0.0247905
111,-0.0101483,0.0131436,0.00595262
112,0.0280346,0.0122719,0.0169049
113,-0.00270098,-0.0138259,0.0176919
114,-0.0150727,0.00756789,0.00598959
115,0.000851083,0.00969666,-0.0134843
116,0.0244184,0.0138944,0.00846092
117,0.00320007,0.0040319,-0.0243464
118,-0.00383123,-0.0102192,0.0239333
119,-0.0183357,0.00246826,0.0191124
120,0.0025169,0.0222286,-0.00757662
121,0.000216959,-0.00986406,-0.0195131
122,-0.00755699,0.0258614,0.0335797
123,-0.00200699,0.0128519,-0.000756011
124,-0.0264628,-0.00923832,0.00608363
125,-0.0037075,0.016113,0.0319948
126,-0.00376819,-0.00276633,0.00299128
127,0.00016624,-0.000218933,-0.00525322
128,0.00919082,-0.0193931,0.0202018
129,-0.0152653,-0.0131928,0.0113316
130,0.0155047,0.00901482,0.0210137
131,0.00110144,0.00443286,-0.0189542
132,-0.0158565,-0.00643873,0.000968524
133,3.9317e-05,0.0102467,0.000292689
134,-0.00582308,0.00335447,-0.00529934
135,0.000616041,0.00173603,-0.000923804
136,-0.0125346,0.00776305,0.01449
137,-0.00439554,-0.000506724,-0.0125369
138,0.0120985,0.0127147,0.0110484
139,0.02415,0.00874012,0.0202853
140,-0.00364904,0.00445424,0.00032805
141,-0.0111682,0.00547735,0.00358133
142,-0.000452336,0.00662863,0.014855
143,0.00676851,-0.00905552,0.00202092
144,0.0120029,0.00489648,0.00310629
145,0.0161161,0.0165216,-0.00102479
146,0.0115929,0.00234288,-0.0100925
147,-0.00522575,0.00639263,-0.00566941
148,0.00740301,0.0144612,-0.00773773
149,0.00250425,-0.00762288,-0.0044342
