coeff_index,form0
0,0.0620334
1,0.00277126
2,0.0204987
3,0.0209018
4,0.0539396
5,0.0199346
6,0.036059
7,-0.0227743
8,-0.0490973
9,-0.0815106
10,-0.11473
11,0.066726
12,-0.221949
13,-0.00839112
14,0.0155288
15,-0.815121
16,-9.73476e-05
17,-0.0478138
18,0.022605
19,0.0318368
20,-0.0432693
21,-0.0291628
22,0.148689
23,0.0604086
24,-0.0670203
25,0.0235062
26,0.0707727
27,0.114294
28,-0.365761
29,-0.475253
30,0.0100082
31,-0.463277
32,0.359372
33,0.0601178
34,-0.087223
35,0.0969451
36,0.0795955
37,0.0399708
38,0.0254095
39,-0.0313494
40,-0.0254567
41,0.0940362
42,0.00733632
43,0.00588594
44,-0.0409036
45,0.0240132
46,-0.0777812
47,-0.00166714
48,-0.00187017
49,0.00954818
50,0.0521205
51,0.0320262
52,0.0289352
53,-0.0797096
54,0.0566149
55,0.0612323
56,0.0931558
57,-0.0460318
58,0.0467658
59,-0.0780656
60,-0.00274137
61,0.0031381
62,0.0642947
63,0.0663496
64,0.0437894
65,0.0134537
66,0.00832675
67,0.158106
68,0.0018204
69,-0.0531418
70,-0.0520103
71,-0.00954484
72,0.0386807
73,0.063001
74,-0.0753853
75,0.0385334
76,-0.0212098
77,-0.129337
78,0.0825977
79,-0.0317619
80,-0.0248976
81,-0.0274881
82,0.0049489
83,-0.0342254
84,-0.0324295
85,0.037839
86,0.00294678
87,0.0258481
88,-0.00806429
89,-0.0708156
90,-0.00453093
91,-0.0241567
92,-0.00891673
93,0.0141184
94,0.00681298
95,-0.0142619
96,0.00808048
97,-0.0202094
98,-0.0111691
99,0.0564772
100,0.0280218
101,0.0749606
102,0.0419412
103,0.00015878
104,0.00511681
105,0.0229124
106,-0.0402527
107,0.02464
108,-0.0278125
109,-0.027526
110,-0.0317481
111,-0.0300196
112,-0.00400453
113,-0.00700335
114,-0.0379023
115,-0.00403575
116,0.00623355
117,0.00700358
118,0.0296259
119,-0.0242998
120,-0.0214755
121,0.00561055
122,-0.0341919
123,0.00776264
124,-0.0134827
125,0.00128443
126,-0.00721318
127,-0.0525346
128,-0.0115607
129,-0.0348364
130,-0.00681957
131,0.00137303
132,-0.0104134
133,-0.029733
134,-0.0153848
135,0.00065147
136,-0.0134682
137,-0.00404405
138,7.76957e-05
139,-0.0245907
140,0.00213501
141,0.0126527
142,-0.00151011
143,-0.0107467
144,-0.0231497
145,0.0230129
146,0.019431
147,0.00510997
148,0.0185302
149,-0.0162937
